item,price,quantity,date,channel,cost_percent,delivery_commission
Nasi lemak ayam,8.00,18,2026-03-01,dine-in,0.40,
Nasi lemak ayam,8.00,13,2026-03-02,dine-in,0.40,
Nasi lemak ayam,8.00,17,2026-03-03,dine-in,0.40,
Nasi lemak ayam,8.00,16,2026-03-04,dine-in,0.40,
Nasi lemak ayam,8.00,14,2026-03-05,dine-in,0.40,
Nasi lemak ayam,8.00,15,2026-03-06,dine-in,0.40,
Nasi lemak ayam,8.00,16,2026-03-07,dine-in,0.40,
Nasi lemak ayam,8.00,18,2026-03-08,dine-in,0.40,
Nasi lemak ayam,8.00,14,2026-03-09,dine-in,0.40,
Nasi lemak ayam,8.00,15,2026-03-10,dine-in,0.40,
Nasi lemak ayam,8.00,14,2026-03-11,dine-in,0.40,
Nasi lemak ayam,8.00,17,2026-03-12,dine-in,0.40,
Nasi lemak ayam,8.00,16,2026-03-13,dine-in,0.40,
Nasi lemak ayam,8.00,16,2026-03-14,dine-in,0.40,
Nasi lemak ayam,8.00,16,2026-03-15,dine-in,0.40,
Nasi lemak ayam,8.00,13,2026-03-16,dine-in,0.40,
Nasi lemak ayam,8.00,16,2026-03-17,dine-in,0.40,
Nasi lemak ayam,8.00,15,2026-03-18,dine-in,0.40,
Nasi lemak ayam,8.00,13,2026-03-19,dine-in,0.40,
Nasi lemak ayam,8.00,15,2026-03-20,dine-in,0.40,
Nasi lemak ayam,8.00,19,2026-03-21,dine-in,0.40,
Nasi lemak ayam,8.00,15,2026-03-22,dine-in,0.40,
Nasi lemak ayam,8.00,13,2026-03-23,dine-in,0.40,
Nasi lemak ayam,8.00,13,2026-03-24,dine-in,0.40,
Nasi lemak ayam,8.00,14,2026-03-25,dine-in,0.40,
Nasi lemak ayam,8.00,13,2026-03-26,dine-in,0.40,
Nasi lemak ayam,8.00,14,2026-03-27,dine-in,0.40,
Nasi lemak ayam,8.00,19,2026-03-28,dine-in,0.40,
Nasi lemak ayam,8.00,17,2026-03-29,dine-in,0.40,
Nasi lemak ayam,8.00,11,2026-03-30,dine-in,0.40,
Nasi lemak biasa,5.00,28,2026-03-01,dine-in,0.35,
Nasi lemak biasa,5.00,25,2026-03-02,dine-in,0.35,
Nasi lemak biasa,5.00,27,2026-03-03,dine-in,0.35,
Nasi lemak biasa,5.00,30,2026-03-04,dine-in,0.35,
Nasi lemak biasa,5.00,26,2026-03-05,dine-in,0.35,
Nasi lemak biasa,5.00,27,2026-03-06,dine-in,0.35,
Nasi lemak biasa,5.00,27,2026-03-07,dine-in,0.35,
Nasi lemak biasa,5.00,27,2026-03-08,dine-in,0.35,
Nasi lemak biasa,5.00,23,2026-03-09,dine-in,0.35,
Nasi lemak biasa,5.00,28,2026-03-10,dine-in,0.35,
Nasi lemak biasa,5.00,25,2026-03-11,dine-in,0.35,
Nasi lemak biasa,5.00,28,2026-03-12,dine-in,0.35,
Nasi lemak biasa,5.00,25,2026-03-13,dine-in,0.35,
Nasi lemak biasa,5.00,29,2026-03-14,dine-in,0.35,
Nasi lemak biasa,5.00,21,2026-03-15,dine-in,0.35,
Nasi lemak biasa,5.00,16,2026-03-16,dine-in,0.35,
Nasi lemak biasa,5.00,17,2026-03-17,dine-in,0.35,
Nasi lemak biasa,5.00,15,2026-03-18,dine-in,0.35,
Nasi lemak biasa,5.00,16,2026-03-19,dine-in,0.35,
Nasi lemak biasa,5.00,16,2026-03-20,dine-in,0.35,
Nasi lemak biasa,5.00,17,2026-03-21,dine-in,0.35,
Nasi lemak biasa,5.00,20,2026-03-22,dine-in,0.35,
Nasi lemak biasa,5.00,15,2026-03-23,dine-in,0.35,
Nasi lemak biasa,5.00,18,2026-03-24,dine-in,0.35,
